"company","serial_number","name","asset_tag","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","2014397-0044","AO005601-CRT","C016904","ERGOTRON","C50-3510-0","AO005601","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","2014397-0003","AO005630-CRT","C016906","ERGOTRON","C50-3510-0","AO005630","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014397-0043","AO005602-CRT","C016908","ERGOTRON","C50-3510-0","AO005602","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2013610-0021","AO005661-CRT","C016910","ERGOTRON","C50-3510-0","AO005661","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014397-0088","AO005670-CRT","C016914","ERGOTRON","C50-3510-0","AO005670","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014397-0001","AO005628-CRT","C016918","ERGOTRON","C50-3510-0","AO005628","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","2014397-0051","AO005665-CRT","C016922","ERGOTRON","C50-3510-0","AO005665","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor"
"Island Health","1978917-0069","AO005610-CRT","C016924","ERGOTRON","C50-3510-0","AO005610","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2013610-0040","AO005627-CRT","C016926","ERGOTRON","C50-3510-0","AO005627","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor"
"Island Health","2011734-0103","AO005662-CRT","C016928","ERGOTRON","C50-3510-0","AO005662","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor"
"Island Health","2011734-0105","AO005629-CRT","C016930","ERGOTRON","C50-3510-0","AO005629","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","1978917-0071","AO005671-CRT","C016932","ERGOTRON","C50-3510-0","AO005671","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor"
"Island Health","2011734-0042","AO005668-CRT","C016934","ERGOTRON","C50-3510-0","AO005668","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2013610-0044","AO005620-CRT","C016936","ERGOTRON","C50-3510-0","AO005620","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor"
"Island Health","2013610-0033","AO005656-CRT","C016938","ERGOTRON","C50-3510-0","AO005656","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","2013610-0030","AO005643-CRT","C016940","ERGOTRON","C50-3510-0","AO005643","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2013610-0042","AO005655-CRT","C016942","ERGOTRON","C50-3510-0","AO005655","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","1991510-0101","AO005645-CRT","C016944","ERGOTRON","C50-3510-0","AO005645","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor"
"Island Health","2014397-0027","AO005666-CRT","C016946","ERGOTRON","C50-3510-0","AO005666","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","1991510-0081","AO005633-CRT","C016948","ERGOTRON","C50-3510-0","AO005633","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","1991510-0076","AO005555-CRT","C016950","ERGOTRON","C50-3510-0","AO005555","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014441-0048","AO005547-CRT","C016952","ERGOTRON","C50-3500-0","AO005547","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","2011734-0101","AO005556-CRT","C016954","ERGOTRON","C50-3510-0","AO005556","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014397-0024","AO005553-CRT","C016956","ERGOTRON","C50-3510-0","AO005553","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2013610-0032","AO005560-CRT","C016958","ERGOTRON","C50-3510-0","AO005560","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","1979619-0009","AO005552-CRT","C016960","ERGOTRON","C50-3510-0","AO005552","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014397-0032","AO005642-CRT","C016962","ERGOTRON","C50-3510-0","AO005642","VIHA-GRH-Gorge Road Hospital-Main Building-3rd Floor"
"Island Health","2014397-0035","AO005562-CRT","C016964","ERGOTRON","C50-3510-0","AO005562","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor"
"Island Health","2011734-0095","AO005557-CRT","C016966","ERGOTRON","C50-3510-0","AO005557","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","2014397-0031","AO005558-CRT","C016968","ERGOTRON","C50-3510-0","AO005558","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014397-0078","AO005566-CRT","C016976","ERGOTRON","C50-3510-0","AO005566","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2013610-0023","AO005548-CRT","C016978","ERGOTRON","C50-3510-0","AO005548","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor"
"Island Health","2014441-0006","AO005647-CRT","C016980","ERGOTRON","C50-3500-0","AO005647","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","2014397-0089","AO005654-CRT","C016982","ERGOTRON","C50-3510-0","AO005654","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","2014397-0041","AO005551-CRT","C016984","ERGOTRON","C50-3510-0","AO005551","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","1978917-0077","AO005653-CRT","C016986","ERGOTRON","C50-3510-0","AO005653","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2013610-0041","AO000837-CRT","C016988","ERGOTRON","C50-3510-0","AO000837","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","2013610-0018","AO005651-CRT","C016990","ERGOTRON","C50-3510-0","AO005651","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2015092-0034","AO005563-CRT","C016992","ERGOTRON","C50-3510-0","AO005563","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","2011734-0109","AO005652-CRT","C016994","ERGOTRON","C50-3510-0","AO005652","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","2013547-0115","AO005649-CRT","C016996","ERGOTRON","C50-3510-0","AO005649","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","2010504-0071","AO005561-CRT","C016998","ERGOTRON","C50-3500-0","AO005561","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","2014397-0002","AO005549-CRT","C016999","ERGOTRON","C50-3510-0","AO005549","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2011734-0097","AO005554-CRT","C017001","ERGOTRON","C50-3510-0","AO005554","VIHA-GVHF-Victoria Hospitals Foundation"
"Island Health","2014397-0033","AO005550-CRT","C017003","ERGOTRON","C50-3510-0","AO005550","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor"
"Island Health","2022511-0103","AO005687-CRT","C017014","ERGOTRON","C50-3500-0","AO005687","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","1835899-0002","AO400295-CRT","C017596","ERGOTRON","SV43-2570-0","AO400295","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1835899-0001","AO000578-CRT","C017597","ERGOTRON","C50-3500-0","AO000578","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
"Island Health","1840497-0005","AO400204-CRT","C017598","ERGOTRON","C50-3500-0","AO400204LEG","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1840497-0005","C017598","C017598","","","","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","1840497-0006","C017601","C017601","","","","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","1840497-0010","C017604","C017604","","","","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","1840497-0002","AO400325-CRT","C017624","ERGOTRON","C50-3510-0","AO400325","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
"Island Health","1840497-0001","AO400335-CRT","C017625","ERGOTRON","C50-3510-0","AO400335","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
"Island Health","1737616-0012","C017637","C017637","","","","VIHA-OHC-Oceanside Health Centre-Main Building"
"Island Health","1737616-0012","AO400455-CRT","C017637","ERGOTRON","C50-3510-0","AO400455","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor"
"Island Health","1263288-0012","C017638","C017638","","","","VIHA-OHC-Oceanside Health Centre-Main Building"
"Island Health","1792410-0030","AO400459-CRT","C017639","ERGOTRON","C50-3510-0","AO400459","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor"
"Island Health","1792410-0030","C017639","C017639","","","","VIHA-OHC-Oceanside Health Centre-Main Building"
"Island Health","1822913-0045","C017640","C017640","","","","VIHA-OHC-Oceanside Health Centre-Main Building"
"Island Health","1822913-0045","AO400462-CRT","C017640","ERGOTRON","C50-3510-0","AO400462","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor"
"Island Health","1801000-0050","AO000279-CRT","C017861","ERGOTRON","SV43-2570-0","AO000279","VIHA-SPH-Saanich Peninsula Hospital-Main Building-1st Floor"
"Island Health","1801000-0062","AO001058-CRT","C017920","ERGOTRON","SV43-2570-0","AO001058","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1801000-0039","AO000508-CRT","C017921","ERGOTRON","SV43-2570-0","AO000508","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1808301-0001","AO000116-CRT","C018026","ERGOTRON","SV43-2570-0","AO000116","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-Basement 1"
"Island Health","1801000-0051","AO000586-CRT","C018070","ERGOTRON","SV43-2570-0","AO000586","VIHA-RJH-Royal Jubilee Hospital-Eric Martin Pavilion-5th Floor"
"Island Health","1801000-0065","AO000186-CRT","C018071","ERGOTRON","SV43-2570-0","AO000186","VIHA-RJH-Royal Jubilee Hospital-Eric Martin Pavilion-5th Floor"
"Island Health","1270857-0064","AO000674-CRT","C018081","ERGOTRON","C50-3500-0","AO000674","VIHA-RJH-Royal Jubilee Hospital"
"Island Health","1854605-0025","AO001503-CRT","C018203","ERGOTRON","SV43-2570-0","AO001503","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor"
"Island Health","1844312-0015","AO001070-CRT","C018207","ERGOTRON","C50-3510-0","AO001070","VIHA-VSQV-Victoria Summit Quadra Village-Main Building-3rd Floor"
"Island Health","1845011-0008","AO000722-CRT","C018232","ERGOTRON","C50-3500-0","AO000722","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1844813-0079","AO000462-CRT","C018234","ERGOTRON","C50-3510-0","AO000462","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor"
"Island Health","1826512-0060","AO000423-CRT","C018235","ERGOTRON","C50-3500-0","AO000423","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","1826036-0032","AO000420-CRT","C018237","ERGOTRON","C50-3500-0","AO000420","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1826808-0037","AO000425-CRT","C018238","ERGOTRON","C50-3500-0","AO000425","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1841539-0054","AO000419-CRT","C018242","ERGOTRON","C50-3500-0","AO000419","VIHA-GRH-Gorge Road Hospital-Main Building-4th Floor"
"Island Health","1844008-0010","AO000416-CRT","C018246","ERGOTRON","C50-3500-0","AO000416","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1823443-0040","AO000427-CRT","C018247","ERGOTRON","C50-3500-0","AO000427","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor"
"Island Health","1823443-0086","AO000437-CRT","C018248","ERGOTRON","C50-3500-0","AO000437","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1826513-0106","AO000207-CRT","C018251","ERGOTRON","C50-3500-0","AO000207","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1845011-0013","AO000424-CRT","C018252","ERGOTRON","C50-3500-0","AO000424","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor"
"Island Health","1841539-0074","AO000559-CRT","C018253","ERGOTRON","C50-3500-0","AO000559","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1841539-0024","AO000187-CRT","C018256","ERGOTRON","C50-3500-0","AO000187","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1826808-0046","AO000223-CRT","C018257","ERGOTRON","C50-3500-0","AO000223","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1823306-0025","AO000448-CRT","C018259","ERGOTRON","C50-3500-0","AO000448","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1827415-0078","AO001080-CRT","C018291","ERGOTRON","C50-3500-0","AO001080","VIHA-VSQV-Victoria Summit Quadra Village-Main Building-1st Floor"
"Island Health","1826612-0047","AO400412-CRT","C018292","ERGOTRON","C50-3500-0","AO400412","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1823306-0023","AO001606-CRT","C018293","ERGOTRON","C50-3500-0","AO000704","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1826036-0035","AO000985-CRT","C018310","ERGOTRON","C50-3500-0","AO000985","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1844813-0083","AO001026-CRT","C018313","ERGOTRON","C50-3500-0","AO005275","VIHA-GLEN-Glengarry Hospital-Chandler Unit-1st Floor"
"Island Health","1826512-0065","AO001005-CRT","C018322","ERGOTRON","C50-3500-0","AO001005","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-3rd Floor"
"Island Health","1826513-0105","AO000428-CRT","C018336","ERGOTRON","C50-3510-0","AO000428","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","1844008-0089","AO000450-CRT","C018342","ERGOTRON","C50-3500-0","AO000450","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor"
"Island Health","1844813-0084","AO000476-CRT","C018343","ERGOTRON","C50-3510-0","AO000476","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","1826036-0021","AO000473-CRT","C018348","ERGOTRON","C50-3510-0","AO000473","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1826917-0039","AO000704-CRT","C018349","ERGOTRON","C50-3510-0","AO000704","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1826513-0056","AO001074-CRT","C018356","ERGOTRON","C50-3510-0","AO001074","VIHA-VSQV-Victoria Summit Quadra Village-Main Building-3rd Floor"
"Island Health","1826512-0098","AO000479-CRT","C018365","ERGOTRON","C50-3510-0","AO000479","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1826612-0006","AO001124-CRT","C018367","ERGOTRON","C50-3500-0","AO001124","VIHA-NQUPCC-North Quadra Urgent and Primary Care Centre-Main Building-1st Floor"
"Island Health","1845011-0053","AO000937-CRT","C018370","ERGOTRON","C50-3510-0","AO000937","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-1st Floor"
"Island Health","1827415-0081","AO000482-CRT","C018377","ERGOTRON","C50-3510-0","AO000482","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","1827415-0076","AO000446-CRT","C018381","ERGOTRON","C50-3500-0","AO000453","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor"
"Island Health","1896908-0002","AO400227-CRT","C018453","ERGOTRON","SV43-2570-0","AO400227","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-3rd Floor"
"Island Health","1866713-0006","IM/IT Loaner Cart","C018572","ERGOTRON","C50-3510-0","","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor"
"Island Health","1866713-0001","AO400059-CRT","C018574","ERGOTRON","C50-3510-0","AO400059","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor"
"Island Health","1848907-0020","AO400452-CRT","C018645","ERGOTRON","C50-3500-0","AO400452","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1848907-0029","AO001493-CRT","C018681","ERGOTRON","C50-3500-0","AO001493","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","1896906-0037","AO005107-CRT","C018698","ERGOTRON","C50-3510-0","AO005107","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor"
"Island Health","1896907-0001","AO001609-CRT","C018709","ERGOTRON","C50-3510-0","AO000419","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor"
"Island Health","1896907-0045","AO005125-CRT","C018711","ERGOTRON","C50-3510-0","AO005125","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-Basement 1"
"Island Health","1297848-0061","AO400317-CRT","C018774","ERGOTRON","SV43-2570-0","AO400317","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-3rd Floor"
"Island Health","1886405-0122","AO001528-CRT","C018776","ERGOTRON","C50-3510-0","AO001528","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
"Island Health","1886405-0105","AO001529-CRT","C018777","ERGOTRON","C50-3510-0","AO001529","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
"Island Health","1801000-0017","AO400283-CRT","C018806","ERGOTRON","SV43-2570-0","AO400283","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-4th Floor"
"Island Health","","C100541","C100541","","","",""
"Island Health","","C010179333","C21212Mmmm086","","","",""
"Island Health","2022365-0067","AO005682-CRT","CO13347","ERGOTRON","C50-3500-0","AO005682","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022511-0107","AO005683-CRT","CO17006","ERGOTRON","C50-3500-0","AO005683","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022365-0021","AO005684-CRT","CO17008","ERGOTRON","C50-3500-0","AO005684","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022341-0113","AO005685-CRT","CO17010","ERGOTRON","C50-3500-0","AO005685","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","2022365-0011","AO005686-CRT","CO17012","ERGOTRON","C50-3500-0","AO005686","VIHA-NRGH-Nanaimo Regional General Hospital"
"Island Health","1297848-0033","AO800349-CRT","HSS-1038970","ERGOTRON","C50-3510-0","AO800349","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor"
"Island Health","1888706-0017","AO800350-CRT","HSS-1038971","ERGOTRON","C50-3510-0","AO800350","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor"
"Island Health","1888706-0009","AO800351-CRT","HSS-1038972","ERGOTRON","C50-3510-0","AO800351","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor"
"Island Health","C21B16M020","AO001664","HSS-1044428","","","","VIHA-GLEN-Glengarry Hospital-Fairfield Unit"
"Island Health","20275470071","AO005712-CRT","HSS-1940494","ERGOTRON","C50-3500-0","AO005712","VIHA-CUPCC-Cowichan Urgent Primary Care Centre"
"Island Health","20275470074","AO005711-CRT","HSS-1940495","ERGOTRON","C50-3500-0","AO005711","VIHA-CUPCC-Cowichan Urgent Primary Care Centre"
"Island Health","1784734-0003","AO400162-CRT","HSS-8075662","ERGOTRON","SV43-1320-0","","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1"
"Island Health","1740163-0004","AO400257-CRT","HSS-8079841","ERGOTRON","SV43-2570-0","AO400257","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-5th Floor"
"Island Health","1854604-0022","AO005019-CRT","HSS-8086353","ERGOTRON","SV43-2570-0","AO005019","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1854604-0037","AO005023-CRT","HSS-8086354","ERGOTRON","SV43-2570-0","AO005023","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
"Island Health","1854599-0003","AO001542-CRT","HSS-8086390","ERGOTRON","SV43-2570-0","AO001542","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1854605-0039","AO001545-CRT","HSS-8086392","ERGOTRON","SV43-2570-0","AO001545","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
"Island Health","1854605-0015","AO005022-CRT","HSS-8086394","ERGOTRON","SV43-2570-0","AO005022","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor"
