"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_retired_date","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group","model_id"
"WT_616A770QV72","C004037","616A770QV72","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Victoria","Main Building","n/a","3","","","","General Rounding","","NTT-Deskside Services-VictoriaGen-Staffed","Dell WYSE 5010 THIN CLIENT"
"LD101798","HSS-1045942","4LB0DW3","VIHA-VGH-Victoria General Hospital","Victoria","","S200","","REQ1258618-RITM1326733-SCTASK2125143","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7440 V7"
"LD100798","HSS-1044096","3PKZFY3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","South tower","WFH - S200","2","REQ1087878-RITM1145038-SCTASK1850762","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","DELL LATITUDE 7440 V2"
"PC037061TRP","HSS-8096924","MZ02VW1W","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Victoria","North tower","n/a","3","ISHTRP20251222-037","","","General Rounding","","NTT-Deskside Services-VictoriaGen-Staffed","LENOVO 12TJS02W00"
"LD067681","HSS-1046454","HM7HVW3","VIHA-PRIO-Priory Hospital","Victoria","Hiscock ","Nursing Station","","REQ1288673-RITM1358856-SCTASK2182334","","","Excluded","","NTT-Deskside Services-VictoriaGen-Local","Dell LATITUDE 7440 V7"
"LD027328","HSS-8078287","D3DH5X3","VIHA-VGH-Victoria General Hospital","Victoria","","TBD by TRP team","","VIHATRP20230911-038","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7430 V1"
"LD064284","HSS-1044120","B3VRDY3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Victoria","Main building","1703 - stores","1","REQ1090937-RITM1148261-SCTASK1857105","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","DELL LATITUDE 7440 V2"
"WT_616A3G6KV72","C004050","616A3G6KV72","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Victoria","Main Building","n/a","3","","","","General Rounding","","NTT-Deskside Services-VictoriaGen-Staffed","Dell WYSE 5010 THIN CLIENT"
"LD032416","HSS-8078292","DLQH5X3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","Main Building","Meet at main entrance","2","VIHATRP20230911-039","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7430 V1"
"WT_616A5VBXV72","C004045","616A5VBXV72","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Victoria","Main Building","n/a","3","","","","General Rounding","","NTT-Deskside Services-VictoriaGen-Staffed","Dell WYSE 5010 THIN CLIENT"
"LD020288","HSS-8066420","24HFLN3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Victoria","Main Building","3100A","3","VIHATRP20220912-079","","","Excluded","","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"PC029714","HSS-8075454","7FFMPR3","VIHA-WSC-West Shore Centre-Main Building-1st Floor","Victoria","Main Building","105-collab room","1","VIHATRP20230619-110","","03/16/2024","Critical Clinical"," ","NTT-Deskside Services-VictoriaGen-Local","Dell OPTIPLEX 7000 MICRO V1"
"LD063219","HSS-1042470","FJWRQV3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Victoria","Main? Not sure what building ","1603","1","REQ0924246-RITM0971676-SCTASK1556635","","","Excluded","'-","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7430 V1"
"TD38000","HSS-1042364","F20B5X3","VIHA-CASA-Sooke Health Unit Public Health Nursing-Main Building-1st Floor","Sooke","Main Building","n/a","1","REQ0893050-RITM0938800-SCTASK1497082","","06/25/2024","General Rounding","'-","NTT-Deskside Services-VictoriaGen-Local","Dell LATITUDE 9430"
"LD045249","HSS-1021068","PC1GZYXN","VIHA-WCB-Wellness Centre at Belmont-Main Building-1st Floor","Victoria","Main Building","n/a","1","REQ0064569-RITM0066588-SCTASK0101217","","","General Rounding","'-WCB-Wellness Centre at Belmont","NTT-Deskside Services-VictoriaGen-Local","LENOVO THINKPAD T490S"
"LD057813","HSS-1031098","2NL47G3","VIHA-EUPCC-Esquimalt Urgent Primary Care Centre-Main Building-1st Floor","Victoria","Main Building","118","1","REQ0418731-RITM0439082-SCTASK0687984","","05/08/2026","General Rounding","890 Esquimalt UPCC - Unit D","NTT-Deskside Services-VictoriaGen-Local","Dell LATITUDE 7420 V3"
"LD023959","HSS-8025198","D7RT8D3","VIHA-EUPCC-Esquimalt Urgent Primary Care Centre-Main Building-1st Floor","Victoria","Main Building","0","1","VIHATRP20211213-054","","05/08/2026","General Rounding","890 Esquimalt UPCC - Unit D","NTT-Deskside Services-VictoriaGen-Local","Dell LATITUDE 7420 V3"
"PC047909","HSS-8074607","6501KQ3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","PCA 1","6","VIHATRP20230522-065","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"PC034227","HSS-8074609","F401KQ3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Main","6","VIHATRP20230522-067","","06/27/2026","Critical Clinical","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"PC044765","HSS-8074608","B201KQ3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N626","6","VIHATRP20230522-066","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"LD024934","HSS-8058486","10PK9K3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N629","6","VIHATRP20220509-034","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"PC072464","HSS-1988131","8WP3KQ3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S547","5","DMND0004201 DMND0004657","","06/25/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"AO005018","HSS-8093454","C23A03M023","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S5B Hallway","5","VIHATRP20250512-033","","06/05/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"AO000452","HSS-8090957","C24529M008","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Hallway","6","VIHATRP20241028-066","","05/16/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V12"
"AO000343","HSS-8093884","C24102M147","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Hallway","6","ISLHTRP20250616-047","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","TANGENT MEDIX 22B V9"
"63CAB7GS6J2","146700","B7GS6J2","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Nursing Station CCM","6","","","05/30/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell Dell WYSE 5060 THIN CLIENT"
"AO005017","HSS-8093455","C23A03M102","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S5B Hallway","5","VIHATRP20250512-034","","06/05/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"PC041494","HSS-8072297","FRYMPR3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S5B POD","5","VIHATRP20230221-034","","06/17/2026","Critical Clinical","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"AO001512","HSS-8093392","C23A03M038","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Hallway","6","ISLHTRP20250505-036","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"AO000365","HSS-8094412","C24223M149","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Hallway","6","ISLHTRP20250714-068","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","TANGENT MEDIX 22B V9"
"LD024933","HSS-8082284","5VR0GY3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N626","6","VIHATRP20240115-018","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","DELL LATITUDE 7440 V2"
"PC033435","HSS-8072334","BMCNPR3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Main","6","VIHATRP20230221-071","","06/27/2026","Critical Clinical","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"AO001602","HSS-8093379","C23A03M027","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Hallway","6","ISLHTRP20250505-023","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"AO000413","HSS-8098445","C25929M069","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Hallway","6","ISLHTRP20260420-081","","05/16/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","TANGENT MEDIX 22B V19"
"LD033569","HSS-8061722","6320MN3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","PCA 4","6","VIHATRP20220815-199","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"LD049763","HSS-8094801","GR4P774","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","North tower","N292","2","ISLHTRP20250804-065","","06/26/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7450 V4"
"LD023680","HSS-8071235","9ZGGLN3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N641","6","VIHATRP20230123-095","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"WT_63CAB80S6J2","146648","B80S6J2","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Nursing Station CCM","6","","","05/30/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell Dell WYSE 5060 THIN CLIENT"
"PC045565","HSS-8074604","9301KQ3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","PCA 6","6","VIHATRP20230522-062","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"PC052855","HSS-8087194","2GD5724","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","PCA 4","6","VIHATRP20240603-035","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OptiPlex Micro Plus 7010 V2"
"AO000339","HSS-8093885","C24102M135","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Hallway","6","ISLHTRP20250616-048","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","TANGENT MEDIX 22B V9"
"LD049745","HSS-8093387","G73TFW3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N639","6","ISLHTRP20250505-031","","05/16/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7450 V4"
"LD102033","HSS-1046732","BKCJGW3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Victoria","North tower","N293A","2","REQ1297085-RITM1367823-SCTASK2189494","","03/19/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7440 V7"
"PC050834","HSS-8079630","6VG2QR3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N626","6","VIHATRP20231023-083","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"PC044733","HSS-8072339","190LPR3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S5B POD","5","VIHATRP20230221-076","","06/17/2026","Critical Clinical","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"PC023483","HSS-8097432","MZ034L0K","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","PCA 3","6","ISLHTRP20260202-108","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","LENOVO M90q Gen 5 Desktop 512HD"
"PC064990","HSS-8085850","5464X04","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","North tower","N292","2","VIHATRP20240422-013","","06/26/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OptiPlex Micro Plus 7010 V2"
"PC034282","HSS-8097102","MZ02WT0S","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","North tower","N293","2","ISLHTRP20260112-048","","06/26/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","LENOVO M90q Gen 5 Desktop 512HD"
"AO000939","HSS-8086397","C23801M191","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S5B hallway","5","VIHATRP20240506-068","","06/05/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"AO000407","HSS-8097924","C25820M029","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C hallway","6","ISLHTRP20260420-065","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","TANGENT MEDIX 22B V19"
"PC106612","HSS-1049571","7FJJZ44","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South Tower","unknown","5","REQ1587125-RITM1674616-SCTASK2737143","","06/25/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OptiPlex Micro Plus 7020 V1"
"LD027353","HSS-8066412","JDQ1NN3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","North tower","N292","2","VIHATRP20220912-071","","06/26/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"LD034025","HSS-8082289","GHP0GY3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N634C","6","VIHATRP20240115-023","","05/29/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","DELL LATITUDE 7440 V2"
"AO000479","HSS-8093456","C23A03M118","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S539","5","VIHATRP20250512-035","","06/05/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","TANGENT MEDIX 22B V9"
"AO000992","HSS-8093382","C23A03M089","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Hallway","6","ISLHTRP20250505-026","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"LD022935","HSS-8018572","PC16ARHB","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Victoria","Main building","n/a","1","","","","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","LENOVO THINKPAD T480S"
"PC033166","HSS-8074606","6931KQ3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Main","6","VIHATRP20230522-064","","06/27/2026","Critical Clinical","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"DRM3H13","HSS-1961990","DRM3H13","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","unknown","5","SD513310","","06/25/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell WYSE 5070 THIN CLIENT V3"
"PC064499","HSS-8090466","4VT2L44","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S541","5","VIHATRP20241007-068","","06/25/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OptiPlex Micro Plus 7020 V1"
"PC041935","HSS-8074612","6731KQ3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Main","6","VIHATRP20230522-070","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"98SR624","HSS-1997574","98SR624","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North Tower","N647 Conference","6","DMND0004884","","05/30/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","DELL OPTIPLEX 3000 THIN CLIENT V3"
"PC064500","HSS-8092221","24BCQ54","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S540","5","VIHATRP20250210-012","","06/25/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OptiPlex Micro Plus 7020 V1"
"AO000987","HSS-8093378","C23A03M079","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Hallway","6","ISLHTRP20250505-022","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","TANGENT MEDIX 22B V9"
"LD049729","HSS-8094410","7KDJX64","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S533","5","ISLHTRP20250714-066","","06/25/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7450 V4"
"LD044446","HSS-8085353","1Q3YCW3","VIHA-VGH-Victoria General Hospital-Main Building-5th Floor","Victoria","South tower","S545","5","VIHATRP20240408-108","","06/25/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7440 V7"
"LD050007","HSS-8094802","B9TN774","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N647","6","ISLHTRP20250804-058","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7450 V4"
"AO005236","HSS-8093391","C23A03M055","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Hallway","6","ISLHTRP20250505-035","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"LD074726","HSS-1903174","4X62WH3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North Tower","N640","6","DMND0005135","","05/16/2026","General Rounding","Acute medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7450 V4"
"AO001558","HSS-8093386","C23A03M042","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Hallway","6","ISLHTRP20250505-030","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"PC052853","HSS-8061737","8112RN3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","PCA 6","6","VIHATRP20220815-181","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"LD021725","HSS-8069323","F3HFLN3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N638","6","VIHATRP20221205-024","","05/30/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"AO001006","HSS-8093380","C23A03M088","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6D Hallway","6","ISLHTRP20250505-024","","05/30/2026","Mobile Cart","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Tangent MEDIX 22B V2"
"LD035316","HSS-8071819","3C12NN3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Victoria","North tower","N292","2","VIHATRP20230206-114","","06/26/2026","General Rounding","Acute medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"PC045563","HSS-8074610","8401KQ3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","PCA 3","6","VIHATRP20230522-068","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7000 MICRO V1"
"LD023679","HSS-8066414","4KL6NN3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N640","6","VIHATRP20220912-073","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell LATITUDE 7420 V3"
"PC047911","HSS-8058068","6SJSMH3","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N6C Main","6","VIHATRP20220411-058","","05/30/2026","Critical Clinical","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OPTIPLEX 7090 MICRO V1"
"PC063934","HSS-8087195","CFS5724","VIHA-VGH-Victoria General Hospital-Main Building-6th Floor","Victoria","North tower","N647","6","VIHATRP20240603-036","","06/27/2026","General Rounding","Acute Medicine","NTT-Deskside Services-VictoriaGen-Staffed","Dell OptiPlex Micro Plus 7010 V2"
